| event_message                                                                                                                   | id                                   | timestamp        |
| ------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | ---------------- |
| Schema cache loaded in 1.6 milliseconds                                                                                         | 311e2351-d4f8-4937-b34a-eea274d97433 | 1772026512515441 |
| Schema cache loaded 30 Relations, 9 Relationships, 1 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones | fa064f6a-8944-4d43-a4af-2da063ae4ad6 | 1772026512515330 |
| Schema cache queried in 9.3 milliseconds                                                                                        | b8d13868-c491-4cf2-bb63-6d3c8dead19f | 1772026512504062 |
| Config reloaded                                                                                                                 | ee88c35f-5021-421d-bba9-3fa8cf858f58 | 1772026512308984 |
| Successfully connected to PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit                    | 62f533f0-5990-4a4b-aeae-7f1dbccb8e06 | 1772026512282205 |
| Connection Pool initialized with a maximum size of 20 connections                                                               | 4db1b389-0431-4a79-9687-2dc9d37fa0c1 | 1772026512282205 |
| Schema cache loaded in 1.4 milliseconds                                                                                         | ddae46ab-850f-48ef-a04c-9b49f5049a4e | 1772026512158977 |
| Schema cache loaded 30 Relations, 9 Relationships, 1 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones | f8f3121a-22bb-49c5-9a4d-834965c28861 | 1772026512158977 |
| Schema cache queried in 13.0 milliseconds                                                                                       | 130f1a21-aacd-4d1e-90d5-37d0f6600a2d | 1772026512149073 |
| Config reloaded                                                                                                                 | c29b5940-4430-4c85-97fe-5f80eedaa0ad | 1772026510984579 |
| Connection Pool initialized with a maximum size of 20 connections                                                               | 396827cc-a6ea-4fcc-b2ac-71cb0f3e9f44 | 1772026510321510 |
| Successfully connected to PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit                    | 943c4bdd-ac04-4081-8088-2f2d6ed8b291 | 1772026510314374 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | c54630dd-743f-4c73-bdc5-e5dfc07de2ce | 1772026510141340 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | fa6e0b35-26d7-4883-8a57-6bf535672b1c | 1772026510141340 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | 3327bbcb-a71e-4c26-bde0-0b91cde1d6d0 | 1772026510117987 |
| Schema cache loaded in 0.7 milliseconds                                                                                         | 46ec9285-29d9-4049-9d4a-12ccb61e2163 | 1772026333197362 |
| Schema cache loaded 30 Relations, 9 Relationships, 1 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones | 51b45b8b-fbfe-47bf-a59d-3fbca08486db | 1772026333197362 |
| Schema cache queried in 5.3 milliseconds                                                                                        | 49552408-920f-472f-b5fc-5ab026e7f4bf | 1772026333196278 |
| Config reloaded                                                                                                                 | 78a9036c-7225-4b6b-abf4-c7da5c1dbf4e | 1772026333062865 |
| Successfully connected to PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit                    | 8022b92b-01ce-44ed-948a-2a465ea7b848 | 1772026333050525 |
| Connection Pool initialized with a maximum size of 20 connections                                                               | eda5a7e4-c9c3-4f64-80eb-993bdad4fea5 | 1772026333050525 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | bd54ba51-0ee2-418e-bf46-d80587f97546 | 1772026332984646 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | c06c5a72-6cae-48a7-a148-9ef96700daca | 1772026332941676 |
| Schema cache loaded in 0.8 milliseconds                                                                                         | a6b241bf-63a1-4083-a1a7-321a96af66b1 | 1772026332935858 |
| Schema cache loaded 30 Relations, 9 Relationships, 1 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones | 6b02393a-a522-4156-adfa-ef47bf438d45 | 1772026332935858 |
| Schema cache queried in 8.8 milliseconds                                                                                        | 6839a977-3af0-4c63-83e2-9c818c27acd4 | 1772026332933643 |
| Received a schema cache reload message on the "pgrst" channel                                                                   | 4aa4d25d-aa5a-47ea-9de1-9a91bb25a8ff | 1772026332898955 |
